Part,Description,Quantity,Manufacturer,Price (EGP),Total Price (EGP),Source ,Part Number,Datasheet
Microcontroller,AVR Controller,1,Atmel,220,220,ATMEGA328PU | RAM Electronics website,ATmega328P,ATmega328P
Frequency Oscillator,16 MHz,1,Generic,4,4,Crystal Oscillator 16.000 MHz | RAM Electronics website,O.16MHZ,
NPN Transistor / MOSFET,Fan driver transistor,1,ON Semiconductor,0.75,0.75,Transistor 2N2222 | RAM Electronics website,2N2222A,https://www.onsemi.com/pdf/datasheet/2n2222a-d.pdf
Flyback Diode,Diode across fan,1,Generic,0.5,0.5,1N4007 General Purpose Silicon Diode 1A - 1000V | RAM Electronics website,1N4007,https://www.vishay.com/docs/88503/1n4001.pdf
DC Fan 5V,Small DC cooling fan,1,Generic,45,45,Cooling Fan 5Vdc Size 50x50x10mm | RAM Electronics website,,
16×2 LCD Display,HD44780-compatible 16×2 character LCD,1,Generic,60,60,Character LCD 16x2 Display Module | Makers Electronics,LCD1602A,https://www.sparkfun.com/datasheets/LCD/HD44780.pdf
LM35 Sensor,Analog temperature sensor (10 mV/°C),1,Texas Instruments,75,75,LM35DZ - Original | RAM Electronics website,LM35DZ,LM35 Precision Centigrade Temperature Sensors datasheet (Rev. H)
Switch,Tactile Push Button Switch,4,Omron,0.75,3,Press 2pin 6x6x9 mm Tack Switch | RAM Electronics website,,https://www.omron.com/ecb/products/pdf/en-b3f.pdf
Buzzer ,Active Buzzer 5V,1,Generic,8,8,Small Buzzer 5V/6V | RAM Electronics website,,
LED,"Red LED, 5mm",1,Generic,0.50 ,0.50 ,LED 5mm Red Color | RAM Electronics website,,
LED,"Blue LED, 5mm",1,Kingbright,0.50 ,0.50 ,LED 5mm Blue Color - Super Bright WB | RAM Electronics website,,
Resistor,"220 Ohm, 0.25W",4,Yageo,2,8,Carbon Resistance 1/4W (Price per 4 Resistors) | RAM Electronics website,,
Jumper Wires,Male-to-Male,Several,Generic,10,10,PH61 - 20cm Male to Male 40 Jumper Wires Set | RAM Electronics website,,
8V Battery / Supply,External power source for regulator,1,Generic,60,60,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,,
Battery Holder,Battery Holder,1,Generic,20,20,2 x 3.7V 18650 Lithium Polymer Battery Holder – Future Electronics Egypt,,
H-Bridge / Regulator,Double H bridge drive,1,Generic,80,80,18650 Lithium Ion Rechargeable High Quality Battery (3.7V – 1200 mAH) – Future Electronics Egypt,,
Potentiometer 10kΩ,LCD contrast adjustment,1,Generic,6,6,Rotary Potentiometer 10KΩ | RAM Electronics website,,
Breadboard,Breadboard,1,Generic,35,35,Mini Breadboard 170 Pin | Makers Electronics,,
,,,,,411.25,,,
